countryiso3code,date,SL.UEM.TOTL.ZS
SSF,2017-01-01,6.0446244692085
SSF,2016-01-01,5.95717068693606
SSF,2015-01-01,5.88782130413379
SSF,2014-01-01,5.71342634020634
SSA,2023-01-01,5.96814416054341
SSA,2022-01-01,6.0782191698974
SSA,2021-01-01,6.69681929875394
SSA,2020-01-01,6.56697284213806
SSA,2019-01-01,6.1385567095684
SSA,2018-01-01,6.01754020171336
SSA,2017-01-01,6.0446244692085
SSA,2016-01-01,5.95717068693606
SSA,2015-01-01,5.88782130413379
SSA,2014-01-01,5.71342634020634
TSS,2023-01-01,5.9681441605434
TSS,2022-01-01,6.0782191698974
TSS,2021-01-01,6.69681929875394
TSS,2020-01-01,6.56697284213806
TSS,2019-01-01,6.1385567095684
TSS,2018-01-01,6.01754020171336
TSS,2017-01-01,6.0446244692085
TSS,2016-01-01,5.95717068693606
TSS,2015-01-01,5.88782130413379
TSS,2014-01-01,5.71342634020634
,2023-01-01,5.58021086539816
,2022-01-01,5.93922577248482
,2021-01-01,6.3161596400082
,2020-01-01,6.70784948621137
,2019-01-01,6.03939956872472
,2018-01-01,5.91472641849046
,2017-01-01,5.98707050154594
,2016-01-01,5.9877089151999
,2015-01-01,5.75420409188962
,2014-01-01,5.53428117447339
WLD,2023-01-01,4.96143065047416
WLD,2022-01-01,5.26461597288318
WLD,2021-01-01,6.03376129229279
WLD,2020-01-01,6.58528753143071
WLD,2019-01-01,5.5829801043763
WLD,2018-01-01,5.75639790322219
WLD,2017-01-01,5.91614141999205
WLD,2016-01-01,6.01033134504685
WLD,2015-01-01,6.04884902024336
WLD,2014-01-01,6.01622857271861
AFG,2023-01-01,14.386
AFG,2022-01-01,14.1
AFG,2021-01-01,11.934
AFG,2020-01-01,11.71
AFG,2019-01-01,11.224
AFG,2018-01-01,11.206
AFG,2017-01-01,11.184
AFG,2016-01-01,10.1
AFG,2015-01-01,9.011
AFG,2014-01-01,7.915
ALB,2023-01-01,11.584
ALB,2022-01-01,11.588
ALB,2021-01-01,12.473
ALB,2020-01-01,12.79
ALB,2019-01-01,11.466
ALB,2018-01-01,12.304
ALB,2017-01-01,13.616
ALB,2016-01-01,15.418
ALB,2015-01-01,17.193
ALB,2014-01-01,18.055
DZA,2023-01-01,11.814
DZA,2022-01-01,12.437
DZA,2021-01-01,13.607
DZA,2020-01-01,14.04
DZA,2019-01-01,12.285
DZA,2018-01-01,12.15
DZA,2017-01-01,12.0
DZA,2016-01-01,10.202
DZA,2015-01-01,11.206
