countryiso3code,date,NY.GDP.MKTP.CD,FP.CPI.TOTL,SL.UEM.TOTL.ZS
BWA,2021-01-01,18750946600.1423,163.633196988276,23.106
BWA,2020-01-01,14960291105.9316,152.584581533137,21.017
BWA,2019-01-01,16725908148.5481,149.753698758867,20.094
BWA,2018-01-01,17031943186.1353,145.713267399351,19.679
BWA,2017-01-01,16105155856.7708,141.143033956383,19.678
BWA,2016-01-01,15082637184.0496,136.623156350634,19.343
BWA,2015-01-01,13530748844.505,132.882567987256,18.939
BWA,2014-01-01,15470088500.7414,128.934551163777,18.518
BRA,2023-01-01,2173665655937.27,213.87513528772,7.95
BRA,2022-01-01,1951923942083.32,204.482120615775,9.231
BRA,2021-01-01,1670647399034.67,187.117425058296,13.159
BRA,2020-01-01,1476107231194.11,172.774291252888,13.697
BRA,2019-01-01,1873288205186.45,167.397860280061,11.936
BRA,2018-01-01,1916933898038.36,161.373814183906,12.33
BRA,2017-01-01,2063514977334.32,155.668786230018,12.792
BRA,2016-01-01,1795693482652.52,150.482594206408,11.58
BRA,2015-01-01,1802212206904.68,138.388614560102,8.538
BRA,2014-01-01,2456043727198.85,126.927212865611,6.755
BRN,2023-01-01,15128292953.5098,106.859907015157,5.27
BRN,2022-01-01,16681536466.7183,106.479705986051,5.191
BRN,2021-01-01,14006496617.4458,102.69810471103,4.905
BRN,2020-01-01,12005799653.9835,100.948253665821,7.409
BRN,2019-01-01,13469235364.7032,99.0268165721066,6.6
BRN,2018-01-01,13566937673.7966,99.4150542992179,8.7
BRN,2017-01-01,12128183904.4501,98.4063383634936,9.316
BRN,2016-01-01,11400466356.3898,99.6625909496525,8.521
BRN,2015-01-01,12930291487.9581,99.9411201211483,7.694
BRN,2014-01-01,17097802752.8728,100.431575127898,6.862
BGR,2023-01-01,101584384672.786,151.670713970091,4.295
BGR,2022-01-01,90346169914.9349,138.584408106261,4.268
BGR,2021-01-01,84041493015.6618,120.168304321485,5.267
BGR,2020-01-01,70368758395.141,116.331973243132,5.125
BGR,2019-01-01,68881010245.5498,114.418393160353,4.23
BGR,2018-01-01,66370132238.3914,110.974058623258,5.212
BGR,2017-01-01,59309748166.1179,107.936147464138,6.164
BGR,2016-01-01,53964253211.84,105.755888099687,7.575
BGR,2015-01-01,50811995688.6771,106.607307237894,9.143
BGR,2014-01-01,57157782909.9307,106.718970777133,11.424
BFA,2023-01-01,20324617838.9676,131.759116014267,5.293
BFA,2022-01-01,18820219331.2261,130.787482169834,5.348
BFA,2021-01-01,19643166853.6641,114.434519867232,5.11
BFA,2020-01-01,17725010530.7894,110.40098363882,4.985
BFA,2019-01-01,16032813501.6639,108.359022934412,4.701
